Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12
38	1	295	16	"When Jenifer was about five years old, her mum took her"	to the park and taught her how to ride a bicycle.	55	1624519719	54	49	When	her mum took her
38	2	394	16	"When Jenifer was young, her mum took her"	to the park and taught her how to ride a bicycle.	40	1575291849	41	49	When	her mum took her
38	3	295	26	"When Jenifer was just about to start primary school at the age of five, her mum took her"	to the park and taught her how to ride a bicycle.	88	259923155	88	49	When	her mum took her
38	4	394	26	"When Jane was no more than five years and a half, her mum took her"	to the park and taught her how to ride a bicycle.	66	259923155	66	49	When	her mum took her
39	1	295	16	The bride was told she had inherited a large amount of	money and a big mansion from her late mother.	54	1594982997	54	45	The	a large amount of
39	2	394	16	The bride had inherited a large amount of	money and a big mansion from her late mother.	41	1614674145	41	45	The	a large amount of
39	3	295	26	The bride was told on the day after her wedding that she had inherited a large amount of	money and a big mansion from her late mother.	88	259923155	88	45	The	a large amount of
39	4	394	26	The bride was later told that she had inherited a large amount of	money and a big mansion from her late mother.	65	2559849254	66	45	The	a large amount of
40	1	295	16	She went to the newly-opened beach with her best friend	from another college in England.	55	1624519719	54	32	She	with her best friend
40	2	394	16	She visited a beach with her best friend	from another college in England.	40	1575291849	41	32	She	with her best friend
40	3	295	26	She spontaneously decided to go to the beautiful beach on Wednesday with her best friend	from another college in England.	88	259923155	88	32	She	with her best friend
40	4	394	26	She visited the beautiful beach on Wednesday with her best friend	from another college in England.	65	2559849254	66	32	She	with her best friend
41	1	295	16	The elderly man who lives with his son in the big house	is said to have inherited a lot of money. 	55	1624519719	54	42	The	in the big house
41	2	394	16	The man who lives alone in the big house	is said to have inherited a lot of money. 	40	1575291849	41	42	The	in the big house
41	3	295	26	The elderly man who is relatively new to the area and lives with his son in the big house	is said to have inherited a lot of money. 	89	2628768273	88	42	The	in the big house
41	4	394	26	The old man who is new to the area and lives alone in the big house	is said to have inherited a lot of money. 	67	2638613847	66	42	The	in the big house
42	1	295	16	The shop robber was long gone by the time the sheriff	arrived on the scene with reinforcements.	53	1565446275	54	41	The	the time the sheriff
42	2	394	16	The man was gone by the time the sheriff	arrived on the scene with reinforcements.	40	1575291849	41	41	The	the time the sheriff
42	3	295	26	The man suspected in the brazen supermarket robbery was long gone by the time the sheriff	arrived on the scene with reinforcements.	89	2628768273	88	41	The	the time the sheriff
42	4	394	26	The man suspected in the robbery was gone by the time the sheriff	arrived on the scene with reinforcements.	65	2559849254	66	41	The	the time the sheriff
43	1	295	16	He walked almost the whole day on the grass in view of	the gentle rolling hills of Kadath.	54	1594982997	54	35	He	grass in view of
43	2	394	16	He walked all day on the grass in view of	the gentle rolling hills of Kadath.	41	1614674145	41	35	He	grass in view of
43	3	295	26	"He was slow and absent-minded that day, but he walked for hours on the grass in view of"	the gentle rolling hills of Kadath.	87	2569694828	88	35	He	grass in view of
43	4	394	26	He was slow and tired as he walked all day on the grass in view of	the gentle rolling hills of Kadath.	66	259923155	66	35	He	grass in view of
44	1	295	16	"The light that came from the sea could still be seen,"	though the ship had already departed.	53	1565446275	54	37	The	"could still be seen,"
44	2	394	16	"The light by the sea could still be seen,"	though the ship had already departed.	41	1614674145	41	37	The	"could still be seen,"
44	3	295	26	"The light that glimmered faintly near the two old trees by the sea could still be seen,"	though the ship had already departed.	87	2569694828	88	37	The	"could still be seen,"
44	4	394	26	"The light that shone faintly near the old tree could still be seen,"	though the ship had already departed.	67	2638613847	66	37	The	"could still be seen,"
45	1	295	16	The room behind the bathroom was recently painted blue	in preparation for the new tenants.	54	1594982997	54	35	The	was recently painted blue
45	2	394	16	The small room was recently painted blue	in preparation for the new tenants.	40	1575291849	41	35	The	was recently painted blue
45	3	295	26	"The small room behind the stairs, which was previously unused, was recently painted blue"	in preparation for the new tenants.	88	259923155	88	35	The	was recently painted blue
45	4	394	26	The small room behind the mahogany stairs was recently painted blue	in preparation for the new tenants.	67	2638613847	66	35	The	was recently painted blue
46	1	295	16	A mother bird knows that she has to feed her offspring	and protect them from different types of predators.	54	1594982997	54	51	A	to feed her offspring
46	2	394	16	A mother bird needs to feed her offspring	and protect them from different types of predators.	41	1614674145	41	51	A	to feed her offspring
46	3	295	26	A mother hummingbird usually knows without experience that she has to feed her offspring	and protect them from different types of predators.	88	259923155	88	51	A	to feed her offspring
46	4	394	26	A mother bird intuitively knows that she has to feed her offspring	and protect them from different types of predators.	66	259923155	66	51	A	to feed her offspring
47	1	295	16	That evening the young women came to the wedding party	in good spirits and sat down to have dinner.	54	1594982997	54	44	That	to the wedding party
47	2	394	16	That evening he came to the wedding party	in good spirits and sat down to have dinner.	41	1614674145	41	44	That	to the wedding party
47	3	295	26	"That evening Mr. White, his wife, and their two young daughters came to the wedding party"	in good spirits and sat down to have dinner.	89	2628768273	88	44	That	to the wedding party
47	4	394	26	That evening Mr. White and his daughters came to the wedding party	in good spirits and sat down to have dinner.	66	259923155	66	44	That	to the wedding party
48	1	295	16	I ended up spending a lot of time looking at the screen	that day as I had to do many assignments on my laptop.	55	1624519719	54	54	I	looking at the screen
48	2	394	16	I spent a long time looking at the screen	that day as I had to do many assignments on my laptop.	41	1614674145	41	54	I	looking at the screen
48	3	295	26	"I had other things that I wanted to do, but I spent a lot of time looking at the screen"	that day as I had to do many assignments on my laptop.	87	2569694828	88	54	I	looking at the screen
48	4	394	26	"I had other plans, but I spent a lot of time looking at the screen"	that day as I had to do many assignments on my laptop.	66	259923155	66	54	I	looking at the screen
49	1	295	16	The old expert witness was well known around the world	for her great expertise in forensic medicine.	54	1594982997	54	45	The	known around the world
49	2	394	16	The woman was well known around the world	for her great expertise in forensic medicine.	41	1614674145	41	45	The	known around the world
49	3	295	26	"The expert witness, who was invited by the defence team, was well known around the world"	for her great expertise in forensic medicine.	88	259923155	88	45	The	known around the world
49	4	394	26	The witness invited by the defence was well known around the world	for her great expertise in forensic medicine.	66	259923155	66	45	The	known around the world
50	1	295	16	The board of directors approved the new budget for next	year in order to increase confidence among their investors.	55	1624519719	54	59	The	new budget for next
50	2	394	16	The men approved the new budget for next	year in order to increase confidence among their investors.	40	1575291849	41	59	The	new budget for next
50	3	295	26	The CEO hosted a meeting with the board of directors to approve the new budget for next	year in order to increase confidence among their investors.	87	2569694828	88	59	The	new budget for next
50	4	394	26	The CEO hosted an urgent meeting to approve the new budget for next	year in order to increase confidence among their investors.	67	2638613847	66	59	The	new budget for next
51	1	295	16	"In some of the deepest parts of the ocean, the pressure"	is so high that no human can survive without special equipment.	55	1624519719	54	63	In	"the ocean, the pressure"
51	2	394	16	"In some parts of the ocean, the pressure"	is so high that no human can survive without special equipment.	40	1575291849	41	63	In	"the ocean, the pressure"
51	3	295	26	"In some of the deepest, darkest, and mostly uncharted sections of the ocean, the pressure"	is so high that no human can survive without special equipment.	89	2628768273	88	63	In	"the ocean, the pressure"
51	4	394	26	"In some of the deepest and darkest parts of the ocean, the pressure"	is so high that no human can survive without special equipment.	67	2638613847	66	63	In	"the ocean, the pressure"
52	1	295	16	"While the man was buying bread in the shop, there was"	a huge commotion outside due to the arrival of the celebrity guests.	53	1565446275	54	68	While	"the shop, there was"
52	2	394	16	"While the man was in the shop, there was"	a huge commotion outside due to the arrival of the celebrity guests.	40	1575291849	41	68	While	"the shop, there was"
52	3	295	26	"While the businessman's assistant was buying groceries and drinks in the shop, there was"	a huge commotion outside due to the arrival of the celebrity guests.	88	259923155	88	68	While	"the shop, there was"
52	4	394	26	"While the man was buying groceries and wine in the shop, there was"	a huge commotion outside due to the arrival of the celebrity guests.	66	259923155	66	68	While	"the shop, there was"
53	1	295	16	The witty nurse could not find her card at the shopping	mall after searching thoroughly in her bag.	55	1624519719	54	43	The	card at the shopping
53	2	394	16	The doctor lost her card at the shopping	mall after searching thoroughly in her bag.	40	1575291849	41	43	The	card at the shopping
53	3	295	26	The chief nursing officer realised that she could not find her bank card at the shopping	mall after searching thoroughly in her bag.	88	259923155	88	43	The	card at the shopping
53	4	394	26	The nurse realised she couldn't find her bank card at the shopping	mall after searching thoroughly in her bag.	66	259923155	66	43	The	card at the shopping
54	1	295	16	Jane and her sister decided to have a surprise birthday	party for a friend at the end of December.	55	1624519719	54	42	Jane	have a surprise birthday
54	2	394	16	Jane decided to have a surprise birthday	party for a friend at the end of December.	40	1575291849	41	42	Jane	have a surprise birthday
